Year,Access to Banking (% of population),Access to Electricity (% of Population),Employment to Population Ratio,"Employment to Population Ratio, Ages 15-24 (%)",Internet Users (% of population),"Labor Force Participation Rate, Female (% of Female Population Ages 15+)","Labor Force Participation Rate, Male (% of Male Population Ages 15+)",Population Growth (%),Population density (people per sq. km),"Population, total",Poverty Headcount Ratio at $3.20 a day (2011 PPP) (% of population),Prevalence of Undernourishment (% of population),Rural Access to Electricity (% of Rural Population),Urban Access to Electricity (% of Urban Population),Urban population (% of total),Airports,Human Development Index (HDI)
1960,,,,,,,,,,44928342,,,,,15.41,,
1961,,,,,,,,2.04264799873527,50.3480648242696,45855507,,,,,15.633,,
1962,,,,,,,,2.0854566981797,51.4090769349012,46821845,,,,,15.858,,
1963,,,,,,,,2.11478153561057,52.507843912294,47822569,,,,,16.087,,
1964,,,,,,,,2.13863084992244,53.6428867881024,48856332,,,,,16.318,,
1965,,,,,,,,2.16538918014848,54.817131657828,49925799,,,,,16.551,,
1966,,,,,,,,2.16856311634238,56.0188587678558,51020296,,,,,16.788,,
1967,,,,,,,,2.10696603598416,57.2116791286494,52106681,,,,,17.027,,
1968,,,,,,,,2.09554103244117,58.4232232067372,53210119,,,,,17.269,,
1969,,,,,,,,2.13938010697564,59.6865838795744,54360750,,,,,17.513,,
1970,,,,,,,,2.1987856550446,61.013498468329,55569264,,,,,17.76,9400,
1971,,,,,,,,2.25680822194687,62.406111312406,56837614,,,,,18.151,11700,
1972,,,,,,,,2.32373411465329,63.87324351922,58173834,,,,,18.549,14500,
1973,,,,,,,,2.43112797220062,65.4451134754109,59605446,,,,,18.952,16900,
1974,,,,,,,,2.57126054527292,67.1496986066735,61157931,,,,,19.363,17200,
1975,,,,,,,,2.73122587293759,69.0089836072774,62851312,,,,,19.78,19200,
1976,,,,,,,,2.8344902652352,70.99302238765,64658315,,,,,20.205,24900,
1977,,,,,,,,2.94325225808384,73.1135797182604,66589655,,,,,20.636,30800,
1978,,,,,,,,3.02292456298641,75.3574931102254,68633344,,,,,21.074,33500,
1979,,,,,,,,3.03783949556754,77.6818593058621,70750307,,,,,21.518,35400,
1980,,,,,,,,3.06371248773115,80.0986407106075,72951439,,,,,21.97,39100,
1981,,,,,,,,3.00298762355107,82.5404734455461,75175387,,,,,22.671,37800,
1982,,,,,,,,2.90087187337984,84.9699342314745,77388067,,,,,23.389,26700,
1983,,,,,,,,2.505583858711,87.1258232045412,79351586,,,,,24.122,28600,
1984,,,,,,,,2.47193822565748,89.3063594540883,81337553,,,,,24.872,27700,
1985,,,,,,,,2.72592646543804,91.7742690251106,83585251,74.6,,,,25.635,37500,
1986,,,,,,,,2.62007004469383,94.2105965282124,85804185,,,,,26.414,32600,
1987,,,,,,,,2.57710319274615,96.6700561063715,88044187,,,,,27.209,30100,
1988,,,,,,,,2.58684403074567,99.2033850478167,90351467,,,,,28.019,19700,
